time/fps,Episode,time/time_elapsed,time/total_timesteps,Reward,train/approx_kl,train/clip_range,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/explained_variance,train/learning_rate,Loss
278,43,15,4300,135534.0,9.337673e-05,0.2,420,0.0,-0.0017296880923368008,249061.3609375,-1.3651961028575896,0.00016683340072631836,0.0003,121023.9765625
278,44,15,4400,138820.0,7.834187e-05,0.2,430,0.0,-0.0010705428630899405,312536.6890625,-1.3659623324871064,-0.00031006336212158203,0.0003,147577.953125
279,45,16,4500,140579.0,9.728182e-06,0.2,440,0.0,9.748804441187531e-05,268184.06875,-1.367730540037155,-9.739398956298828e-05,0.0003,136107.0
279,46,16,4600,144799.0,0.00019122552,0.2,450,0.0,-0.002019540040691936,87567.626953125,-1.366772210597992,-0.00041282176971435547,0.0003,43778.34765625
279,47,16,4700,146218.0,8.92399e-05,0.2,460,0.0,-0.0007431764930515783,478740.3703125,-1.3636008501052856,3.045797348022461e-05,0.0003,234736.109375
279,48,17,4800,149709.0,0.00088816683,0.2,470,0.0,-0.005486647232464748,47955.0744140625,-1.3640966832637786,0.00048345327377319336,0.0003,26361.87109375
279,49,17,4900,152838.0,0.00066957023,0.2,480,0.0,-0.002845219372829888,268156.53828125,-1.3615446388721466,0.0006502866744995117,0.0003,145271.59375
279,50,17,5000,154763.0,7.5699245e-05,0.2,490,0.0,-0.0007725584134732344,208670.84921875,-1.3634549021720885,0.0006172657012939453,0.0003,137165.953125
279,51,18,5100,157506.0,0.00011832391,0.2,500,0.0,-0.001630598050178378,104983.459375,-1.3625894129276275,-0.0001666545867919922,0.0003,62781.515625
279,52,18,5200,160944.0,0.00010970561,0.2,510,0.0,-0.0016629762562843098,193109.90078125,-1.355317771434784,4.488229751586914e-05,0.0003,110274.765625
279,53,18,5300,165255.0,5.9168422e-05,0.2,520,0.0,-0.0010297124345015618,319549.62265625,-1.3522480845451355,-0.0001270771026611328,0.0003,166372.5
279,54,19,5400,168008.0,1.2398646e-05,0.2,530,0.0,2.0259496523067355e-05,635636.859375,-1.3531123876571656,1.9669532775878906e-05,0.0003,300987.40625
279,55,19,5500,172141.0,0.00014894715,0.2,540,0.0,-0.002051413535809843,238213.15,-1.3537071287631988,1.895427703857422e-05,0.0003,125763.4765625
279,56,20,5600,175010.0,0.00011474194,0.2,550,0.0,-0.0014820249927652185,482618.2609375,-1.3436726570129394,5.155801773071289e-05,0.0003,213143.453125
279,57,20,5700,177912.0,0.00011830637,0.2,560,0.0,-0.0017439307248423574,127357.025,-1.35187486410141,0.0010461211204528809,0.0003,57323.09765625
279,58,20,5800,180831.0,0.00014072248,0.2,570,0.0,-0.0015941218249281518,196129.49375,-1.3475527584552764,0.0002346038818359375,0.0003,106653.4609375
279,59,21,5900,185258.0,0.00019407444,0.2,580,0.0,-0.00174484394162846,259151.09375,-1.353419429063797,0.00013393163681030273,0.0003,142703.953125
279,60,21,6000,187689.0,3.106059e-05,0.2,590,0.0,-0.00041267736287409207,491254.8703125,-1.3510152459144593,0.000782012939453125,0.0003,268992.5
275,61,22,6100,189950.0,0.000308385,0.2,600,0.0,-0.0028733689216096535,124231.580078125,-1.3396753907203673,0.00020426511764526367,0.0003,63829.62109375
275,62,22,6200,192528.0,0.00012468261,0.2,610,0.0,-0.0011938827163248788,131198.312109375,-1.3375635862350463,0.00011235475540161133,0.0003,62702.95703125
275,63,22,6300,196277.0,0.00018740207,0.2,620,0.0,-0.0014032176525233808,155663.475390625,-1.345243227481842,0.00010478496551513672,0.0003,66952.546875
275,64,23,6400,198242.0,9.644787e-05,0.2,630,0.0,-0.0013996170260725193,284974.69765625,-1.3470486998558044,0.0001512765884399414,0.0003,140058.078125
275,65,23,6500,201831.0,0.00022367874,0.2,640,0.0,-0.0019076446842518635,118684.063671875,-1.3418003499507904,0.00015807151794433594,0.0003,57647.91796875
275,66,23,6600,204576.0,0.00010610744,0.2,650,0.0,-0.0010762944519228767,382933.1296875,-1.3476713180541993,0.00026667118072509766,0.0003,177031.578125
275,67,24,6700,207297.0,0.00019666267,0.2,660,0.0,-0.0023298046638956294,192935.25078125,-1.3372258126735688,7.086992263793945e-05,0.0003,91530.28125
275,68,24,6800,210155.0,0.00019052872,0.2,670,0.0,-0.0018144128223866573,243041.515625,-1.3390865981578828,1.919269561767578e-05,0.0003,125220.40625
275,69,25,6900,212979.0,8.51382e-05,0.2,680,0.0,-0.0009136179033703229,230048.13515625,-1.3338883638381958,0.00012511014938354492,0.0003,117951.359375
275,70,25,7000,216981.0,0.00011230612,0.2,690,0.0,-0.001380016472103307,217677.398046875,-1.3370234012603759,0.00031620264053344727,0.0003,97607.203125
275,71,25,7100,218943.0,0.000111251036,0.2,700,0.0,-0.0026589024797431192,392067.2578125,-1.3387036859989165,0.00021320581436157227,0.0003,222691.8125
275,72,26,7200,223170.0,0.00054892455,0.2,710,0.0,-0.003997544681806175,89046.558984375,-1.3309577047824859,0.0004902482032775879,0.0003,46477.74609375
