Episode,Loss
0,13807.0712890625
1,2468.4697265625
2,1341.7950439453125
3,9059.130859375
4,14374.52734375
5,5357.9970703125
6,10863.2705078125
7,42439.796875
8,10903.5126953125
9,8707.625
10,4578.6982421875
11,8777.9580078125
12,28678.958984375
13,8131.201171875
14,29829.91796875
15,40976.24609375
16,19310.67578125
17,12407.9453125
18,13268.87109375
19,3881.242919921875
20,13277.5625
21,4130.65380859375
22,42790.125
23,25730.9375
24,12559.611328125
25,19773.2578125
26,15029.734375
27,54363.9609375
28,33076.328125
29,30132.287109375
30,14938.451171875
31,20097.9609375
32,14305.7802734375
33,34525.55078125
34,1207.9453125
35,11507.8046875
36,725.5372314453125
37,13252.484375
38,31855.314453125
39,21674.26953125
40,25103.609375
41,17908.908203125
42,16125.251953125
43,15614.54296875
44,8355.1611328125
45,2224.18701171875
46,35435.234375
47,7151.96533203125
48,27437.150390625
49,18727.595703125
50,10189.1298828125
51,20867.005859375
52,3215.952880859375
53,8494.759765625
54,11715.640625
55,17155.642578125
56,245.2404022216797
57,15473.708984375
58,342.76837158203125
59,23201.283203125
60,16085.474609375
61,5108.708984375
62,19836.4609375
63,17672.0859375
64,2467.466552734375
65,5933.2109375
66,7782.6630859375
67,6856.5078125
68,39276.8203125
69,36431.86328125
70,3091.1240234375
71,4529.3115234375
72,19662.92578125
73,66.53532409667969
74,10067.1181640625
75,16139.76171875
76,27305.08984375
77,6204.0908203125
78,29177.14453125
79,9866.2021484375
80,2635.216064453125
81,5124.1494140625
82,2209.4951171875
83,14252.1572265625
84,32098.384765625
85,2501.69921875
86,18059.59765625
87,12974.2763671875
88,2729.489990234375
89,1596.98193359375
90,18287.681640625
91,6050.533203125
92,10323.166015625
93,309.0830078125
94,12068.779296875
95,3682.029052734375
96,26374.232421875
97,8360.35546875
98,23673.28515625
99,23069.32421875
100,4729.24951171875
101,15674.365234375
102,44276.921875
103,2736.109619140625
104,6849.63037109375
105,11012.84375
106,4776.25390625
107,12116.5576171875
108,3678.37890625
109,4157.83544921875
110,14323.638671875
111,13640.4638671875
112,20293.62109375
113,27543.236328125
114,41314.6328125
115,13843.453125
116,4851.337890625
117,17925.11328125
118,8790.693359375
119,29196.337890625
120,10778.107421875
121,1155.7386474609375
122,9317.0
123,14430.3720703125
124,7633.3251953125
125,29019.921875
126,13246.0009765625
127,25404.974609375
128,8173.404296875
129,5233.080078125
130,11219.6181640625
131,21259.857421875
132,4080.462646484375
133,17191.248046875
134,607.250244140625
135,24046.447265625
136,12454.068359375
137,2383.44921875
138,6998.6318359375
139,7711.4482421875
140,12818.9423828125
141,5779.939453125
142,11610.423828125
143,1715.39697265625
144,9063.1123046875
145,6200.759765625
146,4610.93798828125
147,4483.6123046875
148,2520.605712890625
149,439.01031494140625
150,20026.51171875
151,12275.982421875
152,2846.3994140625
153,6995.3857421875
154,1566.191650390625
155,584.25537109375
156,10786.8037109375
157,3129.43359375
158,12436.76953125
159,8693.48046875
160,10127.7216796875
161,10856.62109375
162,3012.33544921875
163,9476.2216796875
164,13612.92578125
165,6213.3466796875
166,183.236328125
167,6099.357421875
168,5650.3359375
169,8833.9814453125
170,7519.05859375
171,12697.125
172,4847.7958984375
173,13092.474609375
174,12843.9453125
175,10695.796875
176,585.2745361328125
177,12542.4921875
178,4606.9765625
179,180.3775634765625
180,944.354736328125
181,8479.94921875
182,3046.84765625
183,6561.486328125
184,3304.55322265625
185,2648.18115234375
186,9811.767578125
187,10560.42578125
188,6743.39453125
189,13572.328125
190,449.109375
191,1607.9697265625
192,1738.407958984375
193,1598.421875
194,760.44775390625
195,1283.67529296875
196,3147.9267578125
197,3814.0546875
198,868.78955078125
199,7167.33203125
200,1870.52685546875
201,1708.08984375
202,2648.22265625
203,2831.1953125
204,4552.69140625
205,276.31390380859375
206,2433.36328125
207,-1160.267578125
208,4213.888671875
209,2475.6416015625
210,-1415.125
211,4949.6640625
212,1650.4482421875
213,7426.6484375
214,-3715.33984375
215,259.983642578125
216,-587.34033203125
217,4830.720703125
218,129.191650390625
219,179.26025390625
220,2345.73828125
221,-1379.1015625
222,1305.03857421875
223,-2501.50390625
224,1022.5029296875
225,1776.802734375
226,9059.97265625
227,747.48583984375
228,-153.338134765625
229,1652.60546875
230,1148.576171875
231,-3092.453125
232,-5567.546875
233,1086.283203125
234,420.212890625
235,-5652.234375
236,588.904296875
237,-2743.4990234375
238,-491.525390625
239,-685.4892578125
240,1061.712890625
241,-196.82421875
242,-5027.30859375
243,-4542.1484375
244,-2228.392578125
245,-3033.82470703125
246,-404.77734375
247,-5427.13671875
248,-15028.09375
249,-1661.943359375
250,-2623.26171875
251,-6591.56640625
252,-6763.005859375
253,-462.180908203125
254,-7189.396484375
255,-3771.119140625
256,-3649.80859375
257,-1215.5244140625
258,-2284.6640625
259,417.27880859375
260,-3569.2119140625
261,-3298.728515625
262,-409.30859375
263,-842.37109375
264,-8636.30859375
265,-27308.0390625
266,711.2822265625
267,-503.115478515625
268,-1673.19921875
269,-8922.10546875
270,-9585.25
271,-3068.5791015625
272,-4590.3984375
273,-4707.119140625
274,671.755859375
275,-13208.19140625
276,-10460.25
277,-5701.025390625
278,-5742.37890625
279,-4167.328125
280,-2541.46484375
281,-3148.630859375
282,-34.517578125
283,-6709.9404296875
284,-8796.857421875
285,-3191.5986328125
286,-4300.23828125
287,-28887.85546875
288,-13742.970703125
289,-6951.126953125
290,-9445.978515625
291,-7842.224609375
292,-10289.42578125
293,-14547.296875
294,-839.5731811523438
295,-6061.12841796875
296,-9685.498046875
297,-9436.5693359375
298,-5707.6982421875
299,-11532.4365234375
300,-13272.9091796875
301,-8937.681640625
302,-31406.44921875
303,-21951.880859375
304,-2187.34912109375
305,-6296.2421875
306,-112.81640625
307,-15521.55078125
308,-7615.98828125
309,-24768.71875
310,-8855.87109375
311,-10705.169921875
312,-10705.2412109375
313,-17001.30859375
314,-2695.583984375
315,-10864.3095703125
316,-12678.83203125
317,-2282.4853515625
318,438.465576171875
319,-18519.62890625
320,-8770.703125
321,-12628.359375
322,-39.9739990234375
323,-27222.48046875
324,-35736.41015625
325,-12789.08203125
326,-11592.609375
327,-45508.88671875
328,-18367.25390625
329,-18084.08984375
330,-18227.177734375
331,-22268.484375
332,-40257.5078125
333,-30893.63671875
334,-1579.789306640625
335,-19060.36328125
336,-4581.18701171875
337,-9110.8994140625
338,-29822.546875
339,-40853.9609375
340,-8642.9375
341,-13752.140625
342,-13631.8623046875
343,-5867.42578125
344,-23565.77734375
345,-15246.0927734375
346,-33899.59765625
347,-11710.541015625
348,-43707.7265625
349,-23406.328125
350,-7997.1728515625
351,-14000.419921875
352,-30532.0078125
353,-7531.7822265625
354,-20030.6640625
355,-18132.16015625
356,-11929.962890625
357,-6367.01904296875
358,-17736.517578125
359,-10409.80859375
360,-16892.53125
361,-49904.5
362,-17133.912109375
363,-31591.03515625
364,-15094.498046875
365,-41394.9453125
366,-19427.90234375
367,-4891.16748046875
368,-28672.5390625
369,-6277.3154296875
370,-27271.861328125
371,-8074.4970703125
372,-56600.953125
373,-27643.0234375
374,-35987.3984375
375,-25142.837890625
376,-21945.453125
377,-5589.7470703125
378,-18769.15625
379,-33422.125
380,-19373.3125
381,-18520.0703125
382,-18650.66796875
383,-10277.4658203125
384,-14156.66796875
385,-24221.9453125
386,-8691.896484375
387,-16482.25
388,-94249.6640625
389,-17522.384765625
390,-79455.234375
391,-9925.8671875
392,-45383.625
393,-17520.009765625
394,-42478.11328125
395,-16118.7216796875
396,-2223.298828125
397,-58321.96875
398,-64746.08203125
399,-19432.177734375
400,-35097.953125
401,-36733.17578125
402,-13018.31640625
403,-50617.28515625
404,-28425.439453125
405,-17402.587890625
406,-23749.470703125
407,-55892.8125
408,856.4302978515625
409,-10812.51953125
410,-41168.82421875
411,-34718.34375
412,-18586.638671875
413,-21946.55078125
414,-13090.525390625
415,-18902.802734375
416,-32861.77734375
417,-9330.625
418,-39268.28125
419,-53438.88671875
420,-24350.32421875
421,-23300.94140625
422,-47884.359375
423,-41482.4765625
424,-14733.099609375
425,-7127.58056640625
426,-18561.619140625
427,-44114.07421875
428,-8458.51953125
429,-22992.5390625
430,-26066.6015625
431,-111135.6328125
432,-65854.328125
433,-81793.6640625
434,-12188.6162109375
435,-45495.6328125
436,-47449.34765625
437,-66528.4140625
438,-46834.78125
439,-29186.17578125
440,-27041.39453125
441,-37385.03125
442,-59561.875
443,-2717.045654296875
444,-50660.328125
445,-94725.15625
446,-28452.48828125
447,-29747.66796875
448,-27340.3984375
449,-50786.5390625
450,-55250.3359375
451,-55199.671875
452,-28364.81640625
453,-21919.619140625
454,-15796.73046875
455,-121229.1953125
456,-48787.61328125
457,-13003.5029296875
458,-66135.84375
459,-55037.671875
460,-82614.8828125
461,-71210.046875
462,-37617.5390625
463,-161831.09375
464,-59372.1171875
465,-37062.4609375
466,-25617.49609375
467,-99013.8125
468,-59110.34375
469,-54732.1484375
470,-49823.66015625
471,-4591.00634765625
472,-73096.0078125
473,-47523.62890625
474,-17377.759765625
475,-33198.22265625
476,-146212.40625
477,-60110.35546875
478,-217677.203125
479,-11223.1005859375
480,-98320.8359375
481,-9315.373046875
482,-25452.048828125
483,-125814.0625
484,-81911.484375
485,-5573.93359375
486,-64649.9140625
487,-120186.734375
488,-61486.83203125
489,-100755.46875
490,-38013.41796875
491,-944.887939453125
492,-33746.9765625
493,-66184.2890625
494,-131154.8125
495,-13592.4609375
496,-40805.6953125
497,-23391.61328125
498,-98637.953125
499,-126234.921875
500,-17473.560546875
501,-13905.568359375
502,-36424.875
503,-11040.091796875
504,-20281.95703125
505,-5559.25390625
506,-89637.734375
507,-89209.28125
508,-95688.59375
509,-24752.078125
510,-141612.078125
511,-59470.46875
512,-86295.765625
513,-102616.0625
514,-1924.9810791015625
515,-137767.40625
516,-42989.5
517,-48278.8359375
518,-108519.4296875
519,-31907.82421875
520,-168357.125
521,-54531.9765625
522,-37372.1328125
523,-63774.14453125
524,-65676.640625
525,-6929.1484375
526,-39316.953125
527,-116745.359375
528,-59004.453125
529,-278852.15625
530,-54301.02734375
531,-171553.828125
532,-106003.5234375
533,-20320.634765625
534,-22472.923828125
535,-126332.390625
536,-44651.61328125
537,-142961.609375
538,-43859.4765625
539,-67049.734375
540,-34987.546875
541,-40530.51171875
542,-878.17626953125
543,-63402.5390625
544,-13133.796875
545,-132071.3125
546,-99855.6171875
547,-84283.359375
548,-77678.453125
549,-74098.7734375
550,-109818.828125
551,-81563.90625
552,-200785.125
553,-115874.90625
554,-122068.34375
555,-48059.390625
556,-258942.875
557,-48108.5703125
558,-28581.55078125
559,-107850.40625
560,-157039.640625
561,-65902.734375
562,-71230.625
563,-159644.453125
564,-269327.75
565,-73720.34375
566,-78145.1875
567,-112765.6640625
568,-74480.3984375
569,-33192.9609375
570,-148726.75
571,-107118.140625
572,-298814.75
573,-49064.85546875
574,-48246.2265625
575,-30021.21875
576,-43718.2421875
577,-57413.75
578,-202214.75
579,-53221.80859375
580,-120826.7578125
581,-148401.90625
582,-245271.390625
583,-164224.234375
584,-93335.9609375
585,-118226.125
586,-204961.140625
587,-105244.828125
588,-136863.078125
589,-61890.68359375
590,-173400.875
591,-47645.9609375
592,-106477.21875
593,-88206.3671875
594,-25615.64453125
595,-133878.21875
596,-60819.2109375
597,-60384.07421875
598,-192472.9375
599,-106183.109375
600,-26345.484375
601,-277650.5
602,3238.220703125
603,-128526.5703125
604,7206.638671875
605,-122144.671875
606,-132060.328125
607,-200811.421875
608,-268769.40625
609,-16440.322265625
610,5691.4423828125
611,6642.27587890625
612,-144930.515625
613,628.1873779296875
614,-209051.125
615,-248431.15625
616,14153.068359375
617,-171807.75
618,-148000.734375
619,-59031.875
620,-227399.65625
621,-37224.98046875
622,-28518.87109375
623,-228733.375
624,-246870.984375
625,-161187.9375
626,-115194.6953125
627,-98107.109375
628,-100565.046875
629,-50813.3671875
630,-134333.75
631,-120914.609375
632,-98451.1171875
633,-121881.453125
634,-47584.47265625
635,-85879.625
636,-156618.953125
637,-172312.6875
638,-220417.890625
639,-168817.34375
640,-79426.8359375
641,-71076.65625
642,-53888.171875
643,-41685.3046875
644,-435285.75
645,-14142.728515625
646,-141300.296875
647,-205075.3125
648,-52296.26953125
649,-43096.703125
650,-163719.40625
651,-96440.1640625
652,-276559.375
653,-4010.487060546875
654,-122202.984375
655,10254.177734375
656,-181753.5625
657,-218734.515625
658,-175556.84375
659,-2480.47119140625
660,-33401.359375
661,-299607.65625
662,-4849.58251953125
663,-59867.0234375
664,-86571.5546875
665,-16627.912109375
666,-45625.75
667,-59318.44921875
668,-299135.6875
669,-365175.8125
670,-68480.0625
671,-35088.09765625
672,17746.935546875
673,-34616.546875
674,-87624.0703125
675,-37533.33984375
676,-73171.09375
677,-74245.1015625
678,-146624.5
679,21613.97265625
680,-8103.10693359375
681,-20822.7578125
682,-241481.671875
