Episode,Loss
1,2575.506094909168
2,10349.056805789003
3,4149.292688575558
4,7941.96896634778
5,862.4243398801144
6,9285.201032918376
7,7281.3328859362755
8,6938.720331376157
9,324.7777891050279
10,6701.766223267242
11,10124.89143978998
12,3724.6163397506625
13,2043.2943905883283
14,617.3159456027299
15,317.9713241398334
16,800.3869098127633
17,2726.0226318311693
18,1296.8305248529464
19,3066.564663100466
20,480.88234989393504
21,3075.0063771831988
22,1717.9932316932081
23,1863.396652295664
24,961.6259725471587
25,317.7367005610466
26,3019.871736119464
27,1368.9699024569989
28,663.5628639367222
29,559.662432943806
30,1030.31086188145
31,1323.5298969250916
32,368.3337934686244
33,1199.7848436661066
34,835.994968836084
35,1537.0810844045131
36,137.25202570207418
37,623.1745096066594
38,3918.6280223948506
39,1343.9698039628565
40,739.6191262160987
41,1232.1090881569683
42,1387.7305994161964
43,504.075945866853
44,1447.2768793009966
45,811.9427744688094
46,228.78526700250805
47,617.9780892089009
48,2884.2263023558257
49,1103.3699079330265
50,1926.8391249928623
51,1678.4935003697872
52,1058.0856181037425
53,2957.9715916572513
54,1692.4278130075336
55,812.029872726053
56,1596.2897662603855
57,429.0689949518442
58,1183.609781768173
59,2526.133712062836
60,1467.4219865763187
61,1571.36773173362
62,1419.740219744444
63,769.0869438019395
64,1902.9043111339165
65,405.9131030493975
66,1329.9847757846117
67,5178.87130720824
68,1902.0918016146125
69,244.98575749620795
70,1704.7872546000779
71,2094.971772726178
72,447.4928350248933
73,724.085510187298
74,96.25762117519974
75,1928.533716366291
76,1493.0543133317528
77,322.3143050748855
78,636.8757798938453
79,999.7639007030427
80,1782.3583033282682
81,807.0721492853761
82,930.6103187233209
83,3055.665703549087
84,834.7427310530655
85,619.1215392518044
86,1386.5929572460054
87,2305.064395554066
88,860.5256844457239
89,1247.727522574961
90,1435.4070452964306
91,160.20385026842357
92,1354.544988889396
93,1031.6151546620576
94,1747.4194748105108
95,1678.7353333399071
96,914.0904373386502
97,827.572782983929
98,1852.7658143250644
99,206.61768229678273
100,877.2084382692352
101,836.8720431059832
102,526.6078763177991
103,1699.2685877714678
104,1538.3277554699778
105,165.0327709079534
106,2651.198084626496
107,475.9708407059312
108,423.3621674072742
109,777.3066361437645
110,953.4870107193291
111,2068.2403751140832
112,218.30947452396154
113,865.0313308647275
114,440.9937855132669
115,1323.81008713983
116,436.7349213977158
117,172.03634518250823
118,3497.1035058787465
119,5803.527437091842
120,2209.8334595436604
121,7102.57787415579
122,1086.141815289259
123,2274.4156936527042
124,1830.418650407493
