time/fps,Episode,time/time_elapsed,time/total_timesteps,Reward,train/approx_kl,train/clip_range,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/explained_variance,train/learning_rate,Loss
408,1,0,100,1516.0,,,,,,,,,,
333,2,0,200,2073.0,0.00046717783,0.2,10.0,0.0,-0.0036216625652741,70648.0609375,-1.3860329985618591,0.0001788735389709,0.0003,30529.80078125
314,3,0,300,1864.0,0.00034059922,0.2,20.0,0.0,-0.0028926867475092,115563.141015625,-1.3854016423225404,0.0004199743270874,0.0003,55529.984375
304,4,1,400,4061.0,0.0010550749,0.2,30.0,0.0,-0.0077606112725334,67090.17109375,-1.38456329703331,0.0021127462387084,0.0003,31441.419921875
298,5,1,500,3269.0,0.00027024635,0.2,40.0,0.0,-0.0014397798120626,478359.8109375,-1.3822973430156709,0.0003156661987304,0.0003,347799.625
295,6,2,600,2925.0,1.9772444e-05,0.2,50.0,0.0,-0.0004065196969349,297948.56484375,-1.3809806287288666,-0.000262975692749,0.0003,130804.1640625
292,7,2,700,3578.0,5.824983e-05,0.2,60.0,0.0,-0.0013852982832759,269002.41015625,-1.3806512713432313,-0.001013159751892,0.0003,118671.4375
289,8,2,800,3127.0,4.401958e-05,0.2,70.0,0.0,-0.0008416213713644,338590.090625,-1.380763339996338,0.0005804300308227,0.0003,168669.875
287,9,3,900,4503.0,3.4226257e-05,0.2,80.0,0.0,-0.0006375089212554,256743.67109375,-1.3798169553279878,0.002100646495819,0.0003,131131.484375
286,10,3,1000,2143.0,6.826915e-05,0.2,90.0,0.0,-0.0012178275956102,817233.23125,-1.3791500508785248,0.0004003643989562,0.0003,423749.09375
285,11,3,1100,3977.0,9.054075e-05,0.2,100.0,0.0,-0.0010756179482996,104514.086328125,-1.379637461900711,-0.0029164552688598,0.0003,62062.1640625
283,12,4,1200,4047.0,5.8792117e-05,0.2,110.0,0.0,-0.0012578048475916,361247.8015625,-1.380188339948654,0.0001837611198425,0.0003,186454.578125
282,13,4,1300,3180.0,0.00015037062,0.2,120.0,0.0,-0.0022275249324593,500159.7640625,-1.3775816798210143,0.0024329423904418,0.0003,236685.953125
282,14,4,1400,2161.0,0.00012980535,0.2,130.0,0.0,-0.0011299051271635,325048.20390625,-1.376049667596817,-0.0013443231582641,0.0003,176667.859375
281,15,5,1500,3759.0,0.000117669195,0.2,140.0,0.0,-0.0016770426562288,145859.7,-1.3762710094451904,-0.0002106428146362,0.0003,53565.79296875
281,16,5,1600,3553.0,6.3148276e-05,0.2,150.0,0.0,-0.0008045458591368,357399.8953125,-1.3781799852848051,4.333257675170898e-05,0.0003,141554.96875
281,17,6,1700,3392.0,3.095939e-05,0.2,160.0,0.0,-0.0006757123787792,349966.82421875,-1.3776071965694427,0.0015859603881835,0.0003,135814.765625
