time/fps,Episode,time/time_elapsed,time/total_timesteps,Reward,train/approx_kl,train/clip_range,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/explained_variance,train/learning_rate,Loss
397,1,0,100,1337.0,,,,,,,,,,
314,2,0,200,4688.0,0.0009428736,0.2,10,0.0,-0.007319024582830025,53882.4537109375,-1.945495492219925,-0.001523137092590332,0.0003,26085.916015625
285,3,1,300,8478.0,0.00024102934,0.2,20,0.0,-0.0017085008006688441,257589.521875,-1.9444146811962129,-3.349781036376953e-05,0.0003,145190.515625
278,4,1,400,11035.0,0.0002745338,0.2,30,0.0,-0.0017983500598347745,419202.76875,-1.944770449399948,0.00033915042877197266,0.0003,218491.515625
268,5,1,500,16800.0,0.000120043915,0.2,40,0.0,-0.001427658928753317,154301.2359375,-1.9448276042938233,0.0009930133819580078,0.0003,64794.671875
266,6,2,600,20822.0,0.000116007766,0.2,50,0.0,-0.0010609075978209148,768410.4875,-1.944912040233612,-0.00043904781341552734,0.0003,397213.4375
264,7,2,700,23691.0,0.00036226033,0.2,60,0.0,-0.0040072599037102915,455229.7046875,-1.9444625079631805,0.0015270113945007324,0.0003,155222.234375
264,8,3,800,25610.0,0.000234329,0.2,70,0.0,-0.002300823392397433,255666.09140625,-1.9436647057533265,0.004316151142120361,0.0003,132269.203125
259,9,3,900,31972.0,0.00040253226,0.2,80,0.0,-0.0035014831912121734,100628.371875,-1.943647825717926,0.002426743507385254,0.0003,48603.6953125
258,10,3,1000,39457.0,0.00013922181,0.2,90,0.0,-0.0012225779479194897,1454164.64375,-1.9444938540458678,-0.0010591745376586914,0.0003,574954.75
258,11,4,1100,42179.0,0.00015765309,0.2,100,0.0,-0.002752344785403693,1972043.0375,-1.9444199323654174,1.5497207641601562e-05,0.0003,747803.0
256,12,4,1200,47674.0,0.00041965334,0.2,110,0.0,-0.003076908697039471,188263.66796875,-1.944085454940796,-0.0009233951568603516,0.0003,79384.6171875
256,13,5,1300,49586.0,0.00014471749,0.2,120,0.0,-0.0010070889258713578,982442.5625,-1.944285023212433,-0.000545501708984375,0.0003,535515.5625
255,14,5,1400,54523.0,0.00062193343,0.2,130,0.0,-0.004905352776086147,123108.7546875,-1.9442466497421265,0.00020420551300048828,0.0003,48908.046875
254,15,5,1500,59138.0,0.000111131725,0.2,140,0.0,-0.0004933821018312301,534648.0671875,-1.9431973159313203,-4.780292510986328e-05,0.0003,320114.375
254,16,6,1600,64684.0,0.00015842708,0.2,150,0.0,-0.0020866990780632477,556849.09375,-1.9435436487197877,0.00046324729919433594,0.0003,206128.953125
