Episode,Loss
0,55295.03125
1,34268.72265625
2,74906.9453125
3,101221.5546875
4,39761.125
5,77126.8203125
6,30462.01953125
7,79565.140625
8,79268.7421875
9,21174.931640625
10,55248.69140625
11,11278.205078125
12,84309.0703125
13,63963.65234375
14,85337.390625
15,101104.03125
16,12085.4384765625
17,29102.427734375
18,47866.61328125
19,39204.7734375
20,23965.439453125
21,4988.78271484375
22,141878.90625
23,37198.28515625
24,54792.60546875
25,103518.28125
26,45548.578125
27,130898.1875
28,67200.09375
29,58314.46875
30,36035.1796875
31,52279.96875
32,40621.078125
33,46248.1171875
34,65951.6171875
35,31035.107421875
36,25185.017578125
37,63085.14453125
38,5830.03125
39,30982.853515625
40,27043.4296875
41,45764.87109375
42,66061.5625
43,54255.015625
44,15829.26953125
45,41684.953125
46,50762.03515625
47,24868.884765625
48,87465.125
49,40726.95703125
50,63577.984375
51,64560.828125
52,175375.484375
53,39992.1796875
54,33755.81640625
55,62827.80859375
56,86915.1875
57,74461.71875
58,25094.728515625
59,18350.64453125
60,22741.48046875
61,73397.796875
62,39154.375
63,25693.19921875
64,42173.66796875
65,39258.125
66,32338.80078125
67,68649.3046875
68,12361.33984375
69,42407.703125
70,54777.5703125
71,51582.66015625
72,65774.5
73,10910.466796875
74,60506.2890625
75,38682.81640625
76,39016.31640625
77,70550.1875
78,9785.478515625
79,38469.71875
80,7564.189453125
81,34875.35546875
82,32655.18359375
83,38125.4296875
84,43261.140625
85,16015.0517578125
86,123546.9140625
87,29833.052734375
88,22618.9765625
89,44651.90625
90,8776.2080078125
91,52372.1875
92,24669.44921875
93,28812.1484375
94,57446.1640625
95,44473.30078125
96,40306.0546875
97,37996.22265625
98,12867.6875
99,44085.8984375
100,42118.4296875
101,40761.0234375
102,22931.802734375
103,36197.73828125
104,65032.78125
105,35795.66796875
106,58568.2578125
107,52586.5078125
108,47249.41015625
109,41778.82421875
110,94002.9140625
111,29578.591796875
112,36098.0859375
113,26074.4140625
114,19370.12109375
115,51372.98828125
116,45237.921875
117,31688.3203125
118,45246.8125
119,32430.28515625
120,37746.5234375
121,30794.552734375
122,17351.71484375
123,8120.91015625
124,19195.267578125
125,71689.421875
126,25655.48046875
127,16531.9609375
128,53535.1328125
129,21904.83203125
130,58323.59765625
131,29003.490234375
132,32818.12890625
133,55382.578125
134,22242.4296875
135,36264.75
136,17928.619140625
137,17965.052734375
138,46312.20703125
139,28699.48046875
140,49309.9765625
141,24080.9765625
142,24508.21484375
143,32076.0703125
144,6547.380859375
145,19324.80078125
146,44260.7265625
147,21292.990234375
148,21632.98828125
149,9988.2265625
150,12630.4521484375
151,8240.392578125
152,42938.4921875
153,41101.49609375
154,23332.796875
155,17885.94921875
156,25464.57421875
157,48492.0234375
158,39503.6640625
159,25466.22265625
160,33153.3359375
161,16258.802734375
162,13365.2265625
163,36870.16796875
164,23562.76953125
165,52813.9296875
166,31148.53515625
167,19838.1484375
168,31604.7578125
169,34753.70703125
170,28591.94140625
171,14470.15625
172,48338.765625
173,31201.63671875
174,52366.21875
175,12927.142578125
176,32478.8359375
177,24445.52734375
178,42985.7421875
179,12050.701171875
180,18302.232421875
181,15680.4501953125
182,16461.328125
183,18602.845703125
184,16019.236328125
185,17373.4765625
186,18529.17578125
187,64690.1875
188,9799.033203125
189,3406.406982421875
190,43100.6796875
191,12390.53125
192,11090.958984375
193,7558.48828125
194,21190.037109375
195,37708.21875
196,19585.197265625
197,16954.140625
198,52048.1953125
199,14584.71484375
200,20413.4140625
201,9976.734375
202,18736.08203125
203,3883.57763671875
204,9303.072265625
205,39529.29296875
206,31053.8203125
207,16965.1953125
208,13352.9140625
209,25284.453125
210,17153.6796875
211,18339.337890625
212,14240.8984375
213,24363.015625
214,9315.177734375
215,17096.41796875
216,18283.46484375
217,16085.203125
218,11662.71875
219,17753.078125
220,15878.60546875
221,37810.828125
222,19531.80078125
223,8523.6826171875
224,25302.25
225,24179.15625
226,12335.34375
227,7189.5390625
228,23958.546875
229,4956.890625
230,6647.3828125
231,11607.046875
232,3957.4375
233,24058.953125
234,1489.18603515625
235,5386.4609375
236,12746.8203125
237,6277.15234375
238,13701.703125
239,11051.72265625
240,802.75
241,5236.875
242,-1249.0078125
243,-4649.765625
244,3503.58203125
245,2009.095703125
246,338.69140625
247,4811.83984375
248,-4635.734375
249,5977.357421875
250,3580.84375
251,-480.8046875
252,2558.408203125
253,-2861.71484375
254,-3841.43359375
255,-9431.0859375
256,-3984.62109375
257,663.486328125
258,378.255859375
259,-3526.3125
260,-18123.03125
261,-1445.681640625
262,-1164.4765625
263,-3622.015625
264,-556.71484375
265,-4950.2421875
266,2239.8359375
267,-5888.65625
268,1261.791015625
269,-20912.15625
270,-131.30078125
271,-7165.921875
272,-22326.15625
273,-4054.701171875
274,-10539.65625
275,-39384.375
276,-4340.7265625
277,-2213.86328125
278,-11856.8984375
279,-5066.3515625
280,-15097.1875
281,-18041.484375
282,-3679.67578125
283,-25682.65625
284,-4861.1484375
285,-5829.93359375
286,-5650.39453125
287,-9648.15625
288,-9639.13671875
289,-5958.40625
290,-2210.0390625
291,-9724.119140625
292,-33465.4921875
293,-8444.154296875
294,-12520.14453125
295,-24884.3515625
296,-12567.99609375
297,-14430.9765625
298,-10186.87890625
299,-9567.0859375
300,-21581.744140625
301,-14374.05859375
302,-25198.45703125
303,-31869.46484375
304,-9435.458984375
305,-35173.4609375
306,-15196.45703125
307,-46662.3125
308,-40222.828125
309,-38629.953125
310,-12694.66796875
311,-46495.484375
312,-15753.9921875
313,-11894.37890625
314,-13327.47265625
315,-31757.203125
316,-72818.703125
317,-14902.8046875
318,-46106.4296875
319,-53089.53125
320,-19676.03125
321,-28774.140625
322,-58443.4609375
323,-20468.35546875
324,-39787.234375
325,-20291.734375
326,-66676.40625
327,-47887.484375
328,-42403.11328125
329,-30214.95703125
330,-18030.93359375
331,-51483.703125
332,-59185.9453125
333,-59006.71875
334,-21164.234375
335,-4174.76123046875
336,-9596.6875
337,-51561.421875
338,-40134.1640625
339,-44109.53125
340,-13879.00390625
341,-35133.84765625
342,-38464.8984375
343,-26272.84375
344,-64402.8359375
345,-32162.9140625
346,-62579.93359375
347,-12869.76953125
348,-21590.19921875
349,-26134.701171875
350,-30484.640625
351,-24650.896484375
352,-34176.6015625
353,-98531.578125
354,-19911.171875
355,-35061.45703125
356,-31686.6015625
357,-64556.2578125
358,-18000.6953125
359,-21072.11328125
360,-87031.4140625
361,-56806.5625
362,-29273.20703125
363,-68309.3203125
364,-71013.265625
365,-44914.2890625
366,-29295.88671875
367,-26701.033203125
368,-39962.5390625
369,-29121.1328125
370,-93370.75
371,-58211.9375
372,-18595.76171875
373,-47596.2578125
374,-83133.0859375
375,-43119.625
376,-111800.2578125
377,-65054.203125
378,-34784.59375
379,-81357.2421875
380,-36082.08984375
381,-86511.921875
382,-35134.90625
383,-63675.37890625
384,-73443.09375
385,-108088.953125
386,-98287.84375
387,-46901.56640625
388,-89537.828125
389,-100787.5390625
390,-103158.296875
391,-36210.2265625
392,-88592.40625
393,-111229.21875
394,-68473.59375
395,-30688.84765625
396,-67635.8125
397,-38231.26953125
398,-46019.2421875
399,-33106.01953125
400,-234826.15625
401,-182471.28125
402,-79493.421875
403,-75409.484375
404,-137578.359375
405,-120122.234375
406,-51270.5
407,-17896.25390625
408,-121048.6171875
409,-39147.1640625
410,-10473.51953125
411,-74515.59375
412,-99509.28125
413,-14329.5224609375
414,-128007.1328125
415,-284494.0
416,-55344.609375
417,-51254.703125
418,-51486.765625
419,-185271.90625
420,-111779.546875
421,-122912.2265625
422,-42558.31640625
423,-85683.015625
424,-97886.40625
425,-57900.91015625
426,-83710.15625
427,-138730.1875
428,-26460.8359375
429,-39318.6953125
430,-173577.84375
431,-154798.859375
432,-90949.8515625
433,-186317.96875
434,-41931.859375
435,-39643.390625
436,-17199.49609375
437,-97979.4296875
438,-165123.65625
439,-96514.59375
440,-71653.75
441,-33773.703125
442,-316592.5
443,-108314.734375
444,-248410.578125
445,-175145.109375
446,-70094.7421875
447,-290056.84375
448,-170535.140625
449,-122121.9921875
450,-227843.328125
451,-88567.234375
452,-44216.171875
453,-72182.1796875
454,-67975.6953125
455,-130906.90625
456,-108779.703125
457,-144344.859375
458,-68565.296875
459,-147600.8125
460,-139933.53125
461,-92347.359375
462,-418048.0625
463,-32880.41796875
464,-107365.25
465,-109167.9765625
466,-83683.296875
467,-109034.6484375
468,-165314.71875
469,-48034.56640625
470,-28530.564453125
471,-122557.703125
472,-124015.0078125
473,-178126.265625
474,-83363.3515625
475,-128397.671875
476,-167290.3125
477,-107014.0625
478,-182156.015625
479,-117846.453125
480,-14473.47265625
481,-79685.2578125
482,-330775.0625
483,-291427.4375
484,-72037.828125
485,-43546.41796875
486,-155342.140625
487,-67564.9765625
488,-93756.28125
489,-77225.4375
490,-66541.0234375
491,-150891.421875
492,-185162.625
493,-196541.34375
494,-98059.46875
495,-50342.5
496,-282017.375
497,-46726.390625
498,-49824.6640625
499,-382032.375
500,-242472.09375
501,-40374.6328125
502,-153667.75
503,-150642.21875
504,-173652.03125
505,-127821.6640625
506,-256386.375
507,-165433.9375
508,-220916.359375
509,-84510.796875
510,-450239.71875
511,-148806.828125
512,-600672.3125
513,-32117.861328125
514,-96889.59375
515,-163962.875
516,-464174.75
517,-196502.1875
518,-117954.515625
519,-175976.46875
520,-111797.203125
521,-191921.53125
522,-106666.0078125
523,-138804.1875
524,-337950.1875
525,-209012.78125
526,-104631.9140625
527,-326408.8125
528,-222875.75
529,-174350.46875
530,-266243.4375
531,-157986.109375
532,-254987.78125
533,-233245.421875
534,-268746.75
535,-184516.828125
536,-166954.4375
537,-168424.65625
538,-86352.328125
539,-204036.5
540,-109116.3671875
541,-190076.21875
542,-292274.59375
543,-215115.875
544,-158652.96875
545,-491420.625
546,-355269.84375
547,-142374.84375
548,-174150.40625
549,-188053.265625
550,-40766.05078125
551,-188517.765625
552,-310006.21875
553,-237834.0625
554,-592554.6875
555,-234213.0625
556,-376150.90625
557,-237833.1875
558,-83325.078125
559,-70651.234375
560,-332399.03125
561,-413934.65625
562,-481925.0
563,-217340.859375
564,-560052.5625
565,-374893.625
566,-111930.09375
567,-258211.625
568,-145302.0625
569,-353498.875
570,-155930.09375
571,-391135.5625
572,-192912.34375
573,-327572.0
574,-54739.1875
575,-467271.4375
576,-283589.8125
577,-218354.9375
578,-211834.1875
579,-192208.625
580,-666476.0625
581,-121672.0859375
582,-250014.125
583,-278801.5
584,-1108787.75
585,-86140.8359375
586,-576432.5
587,-191677.21875
588,-649834.0625
589,-301411.75
590,-93852.3515625
591,-184469.90625
592,-360062.15625
593,-188378.625
594,-333277.96875
595,-209784.15625
596,-110103.484375
597,-347937.3125
598,-273385.5625
599,-412318.0
600,-417801.28125
